Idade	Genero	Estado_civil	Renda_mensal	Refeicao_mais_frequente	Avaliacao_media_anterior	Influenciado_por_nota
31	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	0
37	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
36	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
29	Masculino	Solteiro	Até 5.000	Almoço	< 4,5	1
35	Masculino	Solteiro	Até 5.000	Jantar	< 4,5	1
28	Masculino	Casado	Mais de 5.000	Lanches	>= 4,5	1
27	Masculino	Casado	Até 5.000	Lanches	>= 4,5	0
19	Masculino	Casado	Até 5.000	Almoço	>= 4,5	0
31	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	1
22	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
26	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
22	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
32	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
24	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
29	Feminino	Solteiro	Até 5.000	Jantar	>= 4,5	0
25	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
31	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	1
21	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	0
31	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
28	Feminino	Solteiro	Até 5.000	Almoço	>= 4,5	1
20	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
20	Feminino	Casado	Até 5.000	Almoço	>= 4,5	1
28	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
24	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
29	Masculino	Casado	Mais de 5.000	Lanches	>= 4,5	0
34	Feminino	Casado	Até 5.000	Almoço	>= 4,5	1
20	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
26	Masculino	Solteiro	Até 5.000	Jantar	< 4,5	0
31	Feminino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
21	Feminino	Casado	Até 5.000	Almoço	< 4,5	0
21	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
25	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
21	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
27	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	0
27	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
32	Masculino	Casado	Mais de 5.000	Café da manhã	< 4,5	0
22	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
52	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
21	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
26	Masculino	Solteiro	Até 5.000	Jantar	>= 4,5	0
27	Feminino	Outros	Mais de 5.000	Jantar	< 4,5	0
38	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
20	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
26	Masculino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
64	Masculino	Casado	Até 5.000	Café da manhã	>= 4,5	1
30	Feminino	Casado	Mais de 5.000	Lanches	>= 4,5	0
42	Feminino	Casado	Até 5.000	Lanches	>= 4,5	0
23	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
20	Masculino	Solteiro	Mais de 5.000	Almoço	< 4,5	0
38	Feminino	Solteiro	Até 5.000	Almoço	< 4,5	0
30	Masculino	Casado	Até 5.000	Lanches	>= 4,5	1
24	Masculino	Casado	Mais de 5.000	Jantar	>= 4,5	1
22	Masculino	Casado	Mais de 5.000	Almoço	< 4,5	0
32	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
33	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
37	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
26	Masculino	Outros	Mais de 5.000	Café da manhã	>= 4,5	1
36	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
