ID_Cliente	N_pedidos	Valor	Dist_m_restaurante	Tempo_m_entrega
29280	4	1918	2	29
29605	18	1333	2.4	52
29664	2	438	3.1	25
29755	3	1005	1.9	19
30247	2	393	2.6	24
30552	35	6238	2.2	41
31154	4	543	1.2	27
31280	1	127	2.6	48
31342	2	808	2.1	41
31594	1	181	2.4	42
31806	25	11853	2.4	51
31943	1	495	0.5	50
31957	1	277	2.5	22
32016	18	4922	1.6	31
32273	2	467	4	28
32588	5	2148	2.2	27
33301	1	62	2.7	22
33336	5	223	1.9	38
33419	1	540	1.1	32
33503	2	548	2	21
33584	59	1164	3	56
33725	14	3004	2.3	43
33838	9	3855	2.3	28
34104	11	5222	3.7	33
34129	2	817	3.1	46
34347	4	1139	1.2	50
34664	11	781	2.9	28
34784	77	30251	2.8	53
34850	7	74	2.1	55
34882	63	2767	2.1	42
35077	1	330	0.5	47
35108	43	7603	3	20
35380	1	171	1.2	29
35828	1	187	1.6	41
36281	2	1071	1.6	27
36357	10	5103	2.6	16
36508	1	1581	3.3	64
36517	1	172	2	27
37068	19	14437	2.1	43
37079	1	328	1.5	20
37087	3	998	2.5	41
37113	5	842	0.4	37
37201	81	25634	2.2	60
37383	26	3555	2.7	27
37439	3	408	2.2	38
37440	1	10	3	35
37471	8	4340	3.4	24
37491	12	3261	2.3	54
37847	2	10	1.6	53
37857	5	1218	2.1	23
37942	23	5576	1.2	48
38274	5	1336	4.1	52
38330	51	121	1.5	31
38674	1	1266	3.9	37
39147	16	9288	2.6	40
39153	4	865	2.5	31
39223	2	276	3	35
39226	11	5052	2.4	59
39413	1	454	3.9	62
39437	4	896	1.8	29
39571	8	3861	2.5	54
39601	5	343	2.6	26
39680	53	7818	2.6	37
39725	35	12247	3.2	51
39903	9	406	2.2	25
39912	5	2356	1.4	39
39923	7	2115	1.9	29
40049	12	6199	3.8	23
40061	2	225	1.8	47
40148	2	180	2.7	20
40155	5	2175	3	40
40838	9	847	2.1	22
40844	4	1011	3.2	35
40858	1	657	2.5	41
41013	4	2624	2.4	49
41036	19	4202	3.6	56
41216	12	1932	4	43
41275	3	277	2.1	46
41336	14	861	3.5	20
41379	2	10	2	25
41425	10	3061	3.8	43
41596	3	1407	2.9	50
41856	17	1236	2	26
41948	8	6605	2.4	47
42069	9	2296	2.4	49
42131	1	235	3.7	47
42181	5	2088	2	29
42345	1	246	2.4	61
42683	9	2575	2.8	55
42697	1	176	3.5	49
42808	11	1373	3.2	31
42815	1	175	0.9	16
42955	3	318	2.1	42
43030	29	14744	2.4	40
43146	8	1165	1.3	34
43173	46	12239	2.5	42
43242	1	188	3.5	17
43319	6	7039	3.1	19
43324	9	2927	3.2	17
43433	29	19414	2	42
43453	17	3206	1.5	19
43651	20	9623	2	17
44258	89	17048	2	27
44362	5	4776	1.2	26
44541	5	6720	3	28
44594	21	12400	2.2	30
44760	4	613	3.4	51
44848	5	2860	1.8	34
44851	2	1639	0.5	57
45047	1	545	3.8	53
45078	4	21	2	54
45164	4	640	3.1	53
45181	8	1923	2.1	26
45357	9	7937	3.3	21
45583	2	1080	3	33
45584	2	110	1.5	58
45804	6	662	1.5	67
45882	4	1169	2.5	30
45905	2	778	1	45
46055	38	4899	1.4	55
46186	2	1033	1.8	37
46425	8	2934	2.7	37
46562	31	8312	2.4	41
46569	5	1981	1.4	18
46572	5	120	3.1	60
46590	4	1130	1.2	40
47093	2	522	3.1	25
47279	1	192	3.9	35
47322	14	7804	2.9	52
47558	1	387	1.5	22
47575	19	1535	2.2	39
47641	2	2172	2.5	48
47805	8	9576	2.1	37
47915	9	1277	3.3	56
48009	2	1682	2.2	18
48179	9	971	3.5	18
48204	3	780	2.9	22
48241	3	3399	3.1	24
48794	7	270	3	44
49009	54	1301	2.7	39
49248	4	1760	2.6	42
49313	1	376	3	62
49370	52	5810	2.4	19
49518	11	3664	2.3	45
49623	4	920	1.7	34
49740	6	1490	3.3	49
49796	10	2469	3	46
49854	4	3008	3.2	24
49868	76	14989	3.7	45
49945	1	634	4.1	50
49970	3	10	1.2	25
50100	5	1910	3.6	29
50194	1	239	2.4	20
50390	10	3443	2.4	39
50623	3	2488	2.8	31
50882	1	65	3.2	33
51259	3	451	0.9	33
51397	1	530	3.5	30
